[2024-04-21 11:17:58,501] 96 werkzeug - WARNING -  * Debugger is active!
[2024-04-21 11:17:59,691] 96 werkzeug - INFO -  * Debugger PIN: 490-458-615
[2024-04-21 11:18:01,950] 96 werkzeug - INFO - 127.0.0.1 - - [21/Apr/2024 11:18:01] "GET / HTTP/1.1" 200 -
[2024-04-21 11:18:12,586] 96 werkzeug - INFO - 127.0.0.1 - - [21/Apr/2024 11:18:12] "GET /predict HTTP/1.1" 200 -
[2024-04-21 11:18:26,341] 62 root - INFO - Dataframe created
[2024-04-21 11:18:26,446] 25 root - INFO - Error occured in predict function in prediction_pipeline location
[2024-04-21 11:18:26,462] 96 werkzeug - INFO - 127.0.0.1 - - [21/Apr/2024 11:18:26] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[2024-04-21 11:18:26,602] 96 werkzeug - INFO - 127.0.0.1 - - [21/Apr/2024 11:18:26] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[2024-04-21 11:18:26,611] 96 werkzeug - INFO - 127.0.0.1 - - [21/Apr/2024 11:18:26] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[2024-04-21 11:18:26,647] 96 werkzeug - INFO - 127.0.0.1 - - [21/Apr/2024 11:18:26] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2024-04-21 11:18:26,658] 96 werkzeug - INFO - 127.0.0.1 - - [21/Apr/2024 11:18:26] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2024-04-21 11:23:35,559] 96 werkzeug - INFO -  * Detected change in 'd:\\airlines-pipeline\\app.py', reloading
